sistema,tabela,sigla,rotulo
SIH,RD,NACIONAL,Código da nacionalidade do paciente
SIH,RD,NUM_PROC,Zerado
SIH,RD,CAR_INT,Caráter da internação
SIH,RD,TOT_PT_SP,Zerado
SIH,RD,CPF_AUT,Zerado
SIH,RD,HOMONIMO,Indicador se o paciente da AIH é homônimo do paciente de outra AIH.
SIH,RD,NUM_FILHOS,Número de filhos do paciente.
SIH,RD,INSTRU,Grau de instrução do paciente.
SIH,RD,CID_NOTIF,CID de Notificação.
SIH,RD,CONTRACEP1,Tipo de contraceptivo utilizado.
SIH,RD,CONTRACEP2,Segundo tipo de contraceptivo utilizado.
SIH,RD,GESTRISCO,Indicador se é gestante de risco.
SIH,RD,INSC_PN,Número da gestante no pré-natal.
SIH,RD,SEQ_AIH5,Sequencial de longa permanência (AIH tipo 5).
SIH,RD,CBOR,"Ocupação do paciente, segundo a Classificação Brasileira de Ocupações – CBO."
SIH,RD,CNAER,Código de acidente de trabalho.
SIH,RD,VINCPREV,Vínculo com a Previdência.
SIH,RD,GESTOR_COD,Motivo de autorização da AIH pelo Gestor.
SIH,RD,GESTOR_TP,Tipo de gestor
SIH,RD,GESTOR_CPF,Número do CPF do Gestor
SIH,RD,GESTOR_DT,Data da autorização dada pelo Gestor (aaaammdd)
SIH,RD,CNES,Código CNES do hospital
SIH,RD,CNPJ_MANT,CNPJ da mantenedora
SIH,RD,INFEHOSP,Status de infecção hospitalar.
SIH,RD,CID_ASSO,CID causa
SIH,RD,CID_MORTE,CID da morte
SIH,RD,COMPLEX,Complexidade.
SIH,RD,FINANC,Tipo de financiamento
SIH,RD,FAEC_TP,Subtipo de financiamento FAEC.
SIH,RD,REGCT,Regra contratua
SIH,RD,RACA_COR,Raça/Cor do paciente
SIH,RD,ETNIA,"Etnia do paciente, se raça cor for indígena."
SIH,RD,SEQUENCIA,Sequencial da AIH na remessa
SIH,RD,REMESSA,Número da remessa
SIH,RD,AUD_JUST,Justificativa do auditor para aceitação da AIH sem o número do Cartão Nacional de Saúde
SIH,RD,SIS_JUST,Justificativa do estabelecimento para aceitação da AIH sem o número do Cartão Nacional de Saúde.
SIH,RD,VAL_SH_FED,Valor do complemento federal de serviços hospitalares. Está incluído no valor total da AIH.
SIH,RD,VAL_SP_FED,Valor do complemento federal de serviços profissionais. Está incluído no valor total da AIH.
SIH,RD,VAL_SH_GES,Valor do complemento do gestor (estadual ou municipal) de serviços hospitalares. Está incluído no valor total da AIH.
SIH,RD,VAL_SP_GES,Valor do complemento do gestor (estadual ou municipal) de serviços profissionais. Está incluído no valor total da AIH.
SIH,RD,VAL_UCI,Valor de UCI.
SIH,RD,MARCA_UCI,Tipo de UCI utilizada pelo paciente.
SIH,RD,DIAGSEC1,Diagnóstico secundário1
SIH,RD,DIAGSEC2,Diagnóstico secundário2
SIH,RD,DIAGSEC3,Diagnóstico secundário3
SIH,RD,DIAGSEC4,Diagnóstico secundário4
SIH,RD,DIAGSEC5,Diagnóstico secundário5
SIH,RD,DIAGSEC6,Diagnóstico secundário6
SIH,RD,DIAGSEC7,Diagnóstico secundário7
SIH,RD,DIAGSEC8,Diagnóstico secundário8
SIH,RD,DIAGSEC9,Diagnóstico secundário9
SIH,RD,TPDISEC1,Tipo de diagnóstico secundário 1
SIH,RD,TPDISEC2,Tipo de diagnóstico secundário 2
SIH,RD,TPDISEC3,Tipo de diagnóstico secundário 3
SIH,RD,TPDISEC4,Tipo de diagnóstico secundário 4
SIH,RD,TPDISEC5,Tipo de diagnóstico secundário 5
SIH,RD,TPDISEC6,Tipo de diagnóstico secundário 6
SIH,RD,TPDISEC7,Tipo de diagnóstico secundário 7
SIH,RD,TPDISEC8,Tipo de diagnóstico secundário 8
SIH,RD,TPDISEC9,Tipo de diagnóstico secundário 9
SIH,SP,SP_GESTOR,Unidade de Federação + Código Município de Gestão ou UF0000 se o Estabelecimento Executante está sob Gestão Estadual.
SIH,SP,SP_UF,Unidade da Federação.
SIH,SP,SP_AA,Ano da internação.
SIH,SP,SP_MM,Mês da internação.
SIH,SP,SP_CNES,Código do CNES do Estabelecimento de Saúde executante da AIH.
SIH,SP,SP_NAIH,Número da AIH.
SIH,SP,SP_PROCREA,Procedimento principal realizado na AIH.
SIH,SP,SP_DTINTER,Data da internação
SIH,SP,SP_DTSAIDA,Data de saída
SIH,SP,SP_NUM_PR,Zerado
SIH,SP,SP_TIPO,Zerado
SIH,SP,SP_CPFCGC,"CNES, CPF ou CNPJ do prestador do serviço do ato profissional"
SIH,SP,SP_ATOPROF,Procedimento referente ao ato profissional.
SIH,SP,SP_TP_ATO,Zerado.
SIH,SP,SP_QTD_ATO,Quantidade de atos profissionais
SIH,SP,SP_PTSP,Quantidade de pontos
SIH,SP,SP_NF,"Nota fiscal do material empregado quando órtese/prótese, quando não, o campo representa a data do ato."
SIH,SP,SP_VALATO,Valor do ato profissional.
SIH,SP,SP_M_HOSP,Município de localização do Estabelecimento Executante da AIH.
SIH,SP,SP_M_PAC,Município de residência do paciente
SIH,SP,SP_DES_HOS,Indica se a UF de residência do paciente é diferente da UF de localização do estabelecimento.
SIH,SP,SP_DES_PAC,Indica se a UF de residência do paciente é diferente da UF de localização do estabelecimento.
SIH,SP,SP_COMPLEX,Complexidade do ato profissional
SIH,SP,SP_FINANC,Tipo de financiamento do ato profissional
SIH,SP,SP_CO_FAEC,Tipo de financiamento (04-FAEC) + Subtipo de financiamento relacionado ao tipo de financiamento (04-FAEC) do ato profissional.
SIH,SP,SP_PF_CBO,Código de Ocupação Brasileira do Profissional que realizou o ato ou “00000” caso não tenha sido.
SIH,SP,SP_PF_DOC,Documento de pessoa jurídica.
SIH,SP,SP_PJ_DOC,Documento de pessoa física
SIH,SP,IN_TP_VAL,Tipo de valor: 1 - SP /2 –SH.
SIH,SP,SEQUENCIA,Código sequencia
SIH,SP,REMESSA,Nome da remessa
SIH,SP,SERV_CLA,Serviço/Classificação
SIH,SP,SP_CIDPRI,CID Principal.
SIH,SP,SP_CIDSEC,CID Secundário
SIH,SP,SP_QT_PROC,Quantidade de procedimentos realizados
SIH,SP,SP_U_AIH,Indicador único da AIH. Contabiliza a AIH sem repetições
SIM,,NUMERODO,"Número da DO, seqüencial por UF informante e por ano. "
SIM,,TIPOBITO,1: óbito fetal 2: óbito não fetal
SIM,,DTOBITO,"Data do óbito, no formato ddmmaaaa"
SIM,,HORAOBITO,Hora do falecimento. 
SIM,,NATURAL,"Naturalidade, conforme a tabela de países. Se for brasileiro, porém, o primeiro dígito contém 8 e os demais o código da UF de naturalidade."
SIM,,DTNASC,Data de nascimento do falecido
SIM,,IDADE,"Idade, composto de dois subcampos. O primeiro, de 1 dígito, indica a unidade da idade, conforme a tabela a seguir. O segundo, de dois dígitos, indica a quantidade de unidades: 0: Idade ignorada, o segundo subcampo e 1: Horas, o segundo subcampo varia de 01 a 23, 2: Dias, o segundo subcampo varia de 01 a 29, 3: Meses, o segundo subcampo varia de 01 a 11, 4: Anos, o segundo subcampo varia de 00 a 99, 5: Anos (mais de 100 anos), o segundo subcampo varia de 0 a 99, exemplos: 000: Idade ignorada, 020: 20 minutos, 103: 3 horas, 204: 4 dias, 305: 5 meses, 400: menor de 1 ano, mas não se sabe o numero de horas, dias ou meses 410: 10 anos, 505: 105 anos"
SIM,,SEXO,"Sexo, conforme a tabela: 0: Ignorado, 1: Masculino, 2: Feminino"
SIM,,RACACOR,"Raça/Cor: 1:Branca, 2:Preta, 3:Amarela, 4: Parda, 5: Indígena"
SIM,,ESTCIVIL,"Estado civil, conforme a tabela: 1: Solteiro 2: Casado 3: Viúvo 4: Separado judicialmente 9: Ignorado "
SIM,,ESC,"Escolaridade, Anos de estudo concluídos: 1: Nenhuma, 2: 1 a 3 anos, 3: 4 a 7 anos, 4: 8 a 11 anos, 5: 12 e mais, 9: Ignorado "
SIM,,OCUP,"Ocupação, conforme a Classificação Brasileira de Ocupações (CBO-2002)"
SIM,,CODMUNRES,Município de residência do falecido
SIM,,CODBAIRES,Código do Bairro de residência
SIM,,LOCOCOR,"Local de ocorrência do óbito, conforme a tabela: 9: Ignorado, 1: Hospital, 2: Outro estab saúde, 3: Domicílio, 4: Via Pública, 5: Outros"
SIM,,CODESTAB,Código do estabelecimento
SIM,,CODMUNOCOR,"Município de ocorrência do óbito, conforme códigos IBGE"
SIM,,CODBAIOCOR,Código do bairro de ocorrência
SIM,,IDADEMAE,Idade da mãe em anos
SIM,,ESCMAE,"Escolaridade, Anos de estudo concluídos: 1: Nenhuma, 2: 1 a 3 anos, 3: 4 a 7 anos, 4: 8 a 11 anos, 5: 12 e mais, 9: Ignorado"
SIM,,OCUPMAE,"Ocupação da mãe, conforme codificação de OCUPACAO"
SIM,,QTDFILVIVO,Número de filhos vivos
SIM,,QTDFILMORT,"Número de filhos mortos, ignorados, não incluindo o próprio"
SIM,,GRAVIDEZ,"Tipo de gravidez, conforme a tabela: 9: Ignorado, 1: Única, 2: Dupla, 3: Tripla e mais"
SIM,,GESTACAO,"Semanas de gestação, conforme as tabelas: 9: Ignorado, 1: Menos de 22 semanas, 2: 22 a 27 semanas, 3: 28 a 31 semanas, 4: 32 a 36 semanas5: 37 a 41 semanas, 6: 42 semanas e mais"
SIM,,PARTO,"Tipo de parto, conforme a tabela: 9: Ignorado, 1: Vaginal, 2: Cesáreo"
SIM,,OBITOPARTO,"Morte em relação ao parto, conforme tabela: 9: Ignorado, 1: Antes, 2: Durante, 3: Depois"
SIM,,PESO,"Peso ao nascer, em gramas."
SIM,,NUMERODN,Número da DN
SIM,,OBITOGRAV,"Morte durante a Gravidez conforme tabela: 9: Ignorado, 1: Sim, 2: Não"
SIM,,OBITOPUERP,"Morte durante o puerpério, conforme tabela: 9: Ignorado, 1: Sim, ate 42 dias, 2: Sim, de 43 dias a 01 ano, 3: Não"
SIM,,ASSISTMED,"Indica se houve assistência medica, conforme a tabela: 9: Ignorado, 1: Com assistência, 2: Sem assistência"
SIM,,EXAME,"Indica se houve exame complementar, conforme a tabela: 9: Ignorado, 1: Sim, 2: Não"
SIM,,CIRURGIA,"Indica se houve cirurgia, conforme a tabela: 9: Ignorado, 1: Sim, 2: Não"
SIM,,NECROPSIA,"Indica se houve necrópsia, conforme a tabela: 9: Ignorado, 1: Sim, 2: Não"
SIM,,LINHAA,"Linha A do atestado, conforme a Classificação Internacional de Doença (CID), 10a. Revisão."
SIM,,LINHAB,"Linha B do atestado, conforme a Classificação Internacional de Doença (CID), 10a. Revisão."
SIM,,LINHAC,"Linha C do atestado, conforme a Classificação Internacional de Doença (CID), 10a. Revisão. "
SIM,,LINHAD,"Linha D do atestado, conforme a Classificação Internacional de Doença (CID), 10a. Revisão."
SIM,,LINHA II,"Linha II do atestado, conforme a Classificação Internacional de Doença (CID), 10a. Revisão. "
SIM,,CAUSABAS,"Causa básica, conforme a Classificação Internacional de Doença (CID), 10a. Revisão "
SIM,,TPASSINA,-
SIM,,DTATESTADO,Data do Atestado
SIM,,CIRCOBITO,"Indica o tipo de acidente, se cabível: 9: Ignorado, 1: Acidente, 2: Suicídio, 3: Homicídio, 4: Outros "
SIM,,ACIDTRAB,"Indica se foi acidente de trabalho, conforme a tabela: 9: Ignorado, 1: Sim, 2: Não "
SIM,,FONTE,"Fonte da informação, conforme a tabela: 9: Ignorado, 1: Boletim de Ocorrência, 2: Hospital, 3: Família, 4: Outra"
SIM,,TPPOS,"Óbito investigado 1-Sim, 2- Não"
SIM,,DTINVESTIG,Data de investigação
SIM,,CAUSABAS_O,"Causa básica original, a primeira informação que entra no sistema"
SIM,,DTCADASTRO,Data de cadastro do registro no sistema. 
SIM,,ATESTANTE,"Indica se o medico que assina atendeu o paciente, 1: Sim, 2: Substituto, 3: IML, 4: SVO, 5: Outros"
SIM,,FONTEINV,"Fonte de investigação, 1 Comitê de Morte Materna e/ou Infantil, 2 Visita domiciliar / Entrevista família, 3 Estab Saúde / Prontuário, 4 Relacion com outros bancos de dados, 5 S V O, 6 I M L, 7 Outra fonte, 8 Múltiplas fontes, 9 Ignorado"
SIM,,DTRECEBIM,"Data de recebimento no nível central, data da última atualização do registro"
SIM,,UFINFORM,Código da UF que informou o registro. 
SIM,,CODINST,Código da instalação da geração dos registros
SIM,,CB_PRE,Causa selecionada sem re-seleção (novo SCB). 
