co_sigtap,no_sigtap,sg_procedimento
0604050089,0604050089 MORFINA 30 MG (POR COMPRIMIDO),MORFI30
0604050097,0604050097 MORFINA DE LIBERACAO CONTROLADA 30 MG (POR CAPSULA),MORFI30
0604050100,0604050100 MORFINA Ç¨DE LIBERACAO CONTROLADA 60 MG (POR CAPSULA),MORFI60
0604050119,0604050119 MORFINA Ç¨DE LIBERACAO CONTROLADA 100 MG (POR CAPSULA),MORFI100
0604060017,0604060017 COMPLEMENTO ALIMENTAR P/ PACIENTE FENILCETONURICO MENOR DE 1 ANO - FORMULA DE AMINOACIDOS ISENTA DE,COMPL1
0604060025,0604060025 COMPLEMENTO ALIMENTAR P/ PACIENTE FENILCETONURICO MAIOR DE 1 ANO - FORMULA DE AMINOACIDOS ISENTA DE,COMPL1
0604070012,0604070012 TRIEXIFENIDIL 5 MG (POR COMPRIMIDO),TRIEX5
0604080018,0604080018 CLOROQUINA 150 MG (POR COMPRIMIDO),CLORO150
0604080026,0604080026 HIDROXICLOROQUINA 400 MG (POR COMPRIMIDO),HIDRO400
0604080034,0604080034 HIDROXICLOROQUINA 200 MG (POR COMPRIMIDO),HIDRO200
0604090013,0604090013 CICLOFOSFAMIDA 50 MG (POR DRAGEA)Ç¨,CICLO50
0604100019,"0604100019 DESMOPRESSINA 0,1 MG/ML APLICACAO NASAL (POR FRASCO DE 2,5 ML",DESMO0
0604100027,"0604100027 DESMOPRESSINA 0,1 MG (POR COMPRIMIDO)",DESMO0
0604100035,"0604100035 DESMOPRESSINA 0,2 MG (POR COMPRIMIDO)",DESMO0
0604110014,"0604110014 GOSSERRELINA 3,60 MG INJETAVEL (POR SERINGA PREENCHIDA)",GOSSE3
0604110022,"0604110022 GOSSERRELINA 10,80 MG INJETAVEL (POR SERINGA PREENCHIDA)",GOSSE10
0604110030,"0604110030 LEUPRORRELINA 3,75 MG INJETAVEL (POR FRASCO-AMPOLA)",LEUPR3
0604110049,"0604110049 LEUPRORRELINA 11,25 MG INJETAVEL (POR FRASCO-AMPOLA)",LEUPR11
0604110057,"0604110057 TRIPTORRELINA 3,75 MG INJETAVEL (POR FRASCO-AMPOLA)",TRIPT3
0604110065,"0604110065 TRIPTORRELINA 11,25 MG INJETAVEL (POR FRASCO-AMPOLA)",TRIPT11
0604110073,"0604110073 TRIPTORRELINA 22,5 MG INJETAVEL (POR FRASCO-AMPOLA)",TRIPT22
0604110081,0604110081 LEUPRORRELINA 45 MG INJETAVEL (SERINGA PREENCHIDA),LEUPR45
0604120010,0604120010 CIPROTERONA 50 MG (POR COMPRIMIDO),CIPRO50
0604130015,0604130015 DONEPEZILA 5 MG (POR COMPRIMIDO),DONEP5
0604130023,0604130023 DONEPEZILA 10 MG (POR COMPRIMIDO),DONEP10
0604130031,0604130031 GALANTAMINA 8 MG (POR CAPSULA DE LIBERACAO PROLONGADA),GALAN8
0604130040,0604130040 GALANTAMINA 16 MG (POR CAPSULA DE LIBERACAO PROLONGADA),GALAN16
0604130058,0604130058 GALANTAMINA 24 MG (POR CAPSULA DE LIBERACAO PROLONGADA),GALAN24
0604130066,"0604130066 RIVASTIGMINA 1,5 MG (POR CAPSULA)",RIVAS1
0604130074,"0604130074 RIVASTIGMINA 2,0 MG/ML SOLUCAO ORAL (POR FRASCO DE 120 ML)",RIVAS2
0604130082,0604130082 RIVASTIGMINA 3 MG (POR CAPSULA),RIVAS3
0604130090,"0604130090 RIVASTIGMINA 4,5 MG (POR CAPSULA)",RIVAS4
0604130104,0604130104 RIVASTIGMINA 6 MG (POR CAPSULA),RIVAS6
0604130112,0604130112 PIRIDOSTIGMINA 60 MG (POR COMPRIMIDO),PIRID60
0604130120,0604130120 RIVASTIGMINA 9 MG ADESIVO TRANSDERMICO,RIVAS9
0604130139,0604130139 RIVASTIGMINA 18 MG ADESIVO TRANSDERMICO,RIVAS18
0604140029,0604140029 DANAZOL 100 MG (POR CAPSULA),DANAZ100
0604140037,0604140037 DANAZOL 200 MG (POR CAPSULA),DANAZ200
0604150016,0604150016 PRIMIDONA 100 MG (POR COMPRIMIDO),PRIMI100
0604150024,0604150024 PRIMIDONA 250 MG (POR COMPRIMIDO),PRIMI250
0604160011,0604160011 PAMIDRONATO 30 MG INJETAVEL (POR FRASCO-AMPOLA),PAMID30
0604160020,0604160020 PAMIDRONATO 60 MG INJETAVEL (POR FRASCO-AMPOLA),PAMID60
0604160038,0604160038 PAMIDRONATO 90 MG INJETAVEL (POR FRASCO-AMPOLA),PAMID90
0604160046,0604160046 RISEDRONATO 5 MG (POR COMPRIMIDO),RISED5
0604160054,0604160054 RISEDRONATO 35 MG (POR COMPRIMIDO),RISED35
0604160062,"0604160062 ACIDO ZOLEDRONICO 0,05 MG/ML (POR FRASCO DE 100 ML)",ACIDO0
0604170017,0604170017 HIDROXIDO DE ALUMINIO 230 MG (POR COMPRIMIDO),HIDRO230
0604170025,0604170025 HIDROXIDO DE ALUMINIO 300 MG (POR COMPRIMIDO),HIDRO300
0604180012,0604180012 CLOBAZAM 10 MG (POR COMPRIMIDO),CLOBA10
0604180020,0604180020 CLOBAZAM 20 MG (POR COMPRIMIDO),CLOBA20
0604180039,0604180039 NITRAZEPAM 5 MG (POR COMPRIMIDO),NITRA5
0604190018,0604190018 VIGABATRINA 500 MG (POR COMPRIMIDO),VIGAB500
0604200013,0604200013 AMANTADINA 100 MG (POR COMPRIMIDO),AMANT100
0604210019,0604210019 ZIPRASIDONA 40 MG (POR CAPSULA),ZIPRA40
0604210027,0604210027 ZIPRASIDONA 80 MG (POR CAPSULA),ZIPRA80
0604220014,0604220014 ETOSSUXIMIDA 50 MG/ML (FRASCO DE 120 ML),ETOSS50
0604230010,0604230010 OLANZAPINA 5 MG (POR COMPRIMIDO),OLANZ5
0604230028,0604230028 OLANZAPINA 10 MG (POR COMPRIMIDO),OLANZ10
0604230036,0604230036 QUETIAPINA 25 MG (POR COMPRIMIDO),QUETI25
0604230044,0604230044 QUETIAPINA 100 MG (POR COMPRIMIDO),QUETI100
0604230052,0604230052 QUETIAPINA 200 MG (POR COMPRIMIDO),QUETI200
0604230060,0604230060 QUETIAPINA 300 MG (POR COMPRIMIDO),QUETI300
0604230079,0604230079 CLOZAPINA 25 MG (POR COMPRIMIDO),CLOZA25
0604230087,0604230087 CLOZAPINA 100 MG (POR COMPRIMIDO),CLOZA100
0604240015,0604240015 IMIGLUCERASE 200 U INJETAVEL (POR FRASCO-AMPOLA),IMIGL200
0604240023,0604240023 ALFATALIGLICERASE 200 U INJETAVEL (POR FRASCO AMPOLA),ALFAT200
0604240031,0604240031 IMIGLUCERASE 400 U INJETAVEL (POR FRASCO-AMPOLA),IMIGL400
0604240058,0604240058 ALFAVELAGLICERASE 400 U INJETAVEL (POR FRASCO AMPOLA),ALFAV400
0604240066,"0604240066 LARONIDASE 0,58 MG/ML SOLUCAO INJETAVEL (FRASCO DE 5 ML)",LARON0
0604240074,0604240074 IDURSULFASE ALFA 2 MG/ML SOLUCAO INJETAVEL (FRASCO DE 3 ML),IDURS2
0604240082,0604240082 GALSULFASE 1 MG/ML SOLUCAO INJETAVEL (POR FRASCO AMPOLA DE 5 ML),GALSU1
0604240090,0604240090 ALFAELOSULFASE 1 MG/ML SOLUCAO INJETAVEL (POR FRASCO AMPOLA DE 5 ML),ALFAE1
0604240104,0604240104 ALFA-ALGLICOSIDASE 50 MG PO LIOFILIZADO PARA SOLUCAO INJETAVEL,ALFA-50
0604240112,0604240112 ALFAVESTRONIDASE 10 MG SOLUCAO INJETAVEL (FRASCOCOM 5ML),ALFAV10
0604240120,"0604240120 ALFAGALSIDASE 1MG/ML (FRASCO AMPOLA DE 3,5 ML)",ALFAG1
0604250010,0604250010 FILGRASTIM 300 MCG INJETAVEL (POR FRASCO AMPOLA OU SERINGA PREENCHIDA),FILGR300
0604250029,0604250029 MOLGRAMOSTIM 300 MCG INJETAVEL (POR FRASCO),MOLGR300
0604250037,0604250037 ELTROMBOPAGUE OLAMINA 25 MG (POR COMPRIMIDO),ELTRO25
0604250045,0604250045 ELTROMBOPAGUE OLAMINA 50 MG (POR COMPRIMIDO),ELTRO50
0604260016,0604260016 SACARATO DE HIDROXIDO FERRICO 100 MG INJETAVEL (POR FRASCO DE 5 ML),SACAR100
0604270011,0604270011 BEZAFIBRATO 200 MG (POR DRAGEA OU COMPRIMIDO),BEZAF200
0604270020,0604270020 BEZAFIBRATO 400 MG (POR COMPRIMIDO DE DESINTEGRACAO LENTA),BEZAF400
0604270038,0604270038 CIPROFIBRATO 100 MG (POR COMPRIMIDO),CIPRO100
0604270046,0604270046 ETOFIBRATO 500 MG (POR CAPSULA),ETOFI500
0604270054,0604270054 FENOFIBRATO 200 MG (POR CAPSULA),FENOF200
0604270062,0604270062 FENOFIBRATO 250 MG (POR CAPSULA DE LIBERACAO RETARDADA),FENOF250
0604270070,0604270070 GENFIBROZILA 600 MG (COMPRIMIDO),GENFI600
0604270089,0604270089 GENFIBROZILA 900 MG (POR COMPRIMIDO),GENFI900
0604270100,0604270100 ACIDO NICOTINICO 500MG (POR COMPRIMIDO DE LIBERACAO PROLONGADA),ACIDO500
0604270119,0604270119 ACIDO NICOTINICO 750 MG (POR COMPRIMIDO DE LIBERACAO PROLONGADA),ACIDO750
0604280017,0604280017 BECLOMETASONA 200 MCG (POR CAPSULA INALANTE),BECLO200
0604280025,0604280025 BECLOMETASONA 200 MCG PO INALANTE (POR FRASCO Ç¨DE 100 DOSES),BECLO200
0604280033,0604280033 BECLOMETASONA 250 MCG SPRAY (POR FRASCO Ç¨DE 200 DOSES),BECLO250
0604280041,0604280041 BECLOMETASONA 400 MCG Ç¨(POR CAPSULA INALANTE),BECLO400
0604280050,0604280050 BECLOMETASONA 400 MCG PO INALANTE (POR FRASCO DE 100 DOSES),BECLO400
0604280068,0604280068 BUDESONIDA 200 MCG (POR CAPSULA INALANTE),BUDES200
0604280076,0604280076 BUDESONIDA 400 MCG (POR CAPSULA INALANTE),BUDES400
0604280084,0604280084 BUDESONIDA 200 MCG PO INALANTE OU AEROSSOL BUCAL (POR FRASCO C/ 100 DOSES),BUDES200
0604280092,0604280092 BUDESONIDA 200 MCG PO INALANTE OU AEROSSOL BUCAL (POR FRASCO C/ 200 DOSES),BUDES200
0604280106,0604280106 METILPREDNISOLONA 500 MG INJETAVEL (POR AMPOLA),METIL500
0604290012,0604290012 OCTREOTIDA Ç¨LAR 10 MG INJETAVEL (POR FRASCO-AMPOLA),OCTRE10
0604290020,0604290020 OCTREOTIDA LAR 20 MG INJETAVEL (POR FRASCO-AMPOLA),OCTRE20
0604290039,0604290039 OCTREOTIDA Ç¨LAR 30 MG INJETAVEL (POR FRASCO-AMPOLA),OCTRE30
0604290047,"0604290047 OCTREOTIDA 0,1 MG/ML INJETAVEL (POR AMPOLA)",OCTRE0
0604290055,"0604290055 OCTREOTIDA 0,5 MG/ML INJETAVEL (POR AMPOLA)",OCTRE0
0604290063,0604290063 LANREOTIDA 60 MG INJETAVEL (POR SERINGA PREENCHIDA),LANRE60
0604290071,0604290071 LANREOTIDA 90 MG INJETAVEL (POR SERINGA PREENCHIDA),LANRE90
0604290080,0604290080 LANREOTIDA 120 MG INJETAVEL (POR SERINGA PREENCHIDA),LANRE120
0604300018,0604300018 IMUNOGLOBULINA ANTI-HEPATITE B 100 UI INJETAVEL (POR FRASCO),IMUNO100
0604300026,0604300026 IMUNOGLOBULINA ANTI-HEPATITE B 500 UI INJETAVEL (POR FRASCO),IMUNO500
0604300034,0604300034 IMUNOGLOBULINA ANTI-HEPATITE B 600 UI INJETAVEL (POR FRASCO),IMUNO600
0604300042,0604300042 IMUNOGLOBULINA ANTI-HEPATITE B 1000 UI INJETAVEL (POR FRASCO),IMUNO1000
0604310013,"0604310013 IMUNOGLOBULINA HUMANA 0,5 G INJETAVEL (POR FRASCO)",IMUNO0
0604310021,"0604310021 IMUNOGLOBULINA HUMANA 1,0 G INJETAVEL (POR FRASCO)",IMUNO1
0604310030,"0604310030 IMUNOGLOBULINA HUMANA 2,5 G INJETAVEL (POR FRASCO)",IMUNO2
0604310048,"0604310048 IMUNOGLOBULINA HUMANA 3,0 G INJETAVEL (POR FRASCO)",IMUNO3
0604310056,"0604310056 IMUNOGLOBULINA HUMANA 5,0 G INJETAVEL (POR FRASCO)",IMUNO5
0604310064,"0604310064 IMUNOGLOBULINA HUMANA 6,0 G INJETAVEL (POR FRASCO)",IMUNO6
0604310072,0604310072 IMUNOGLOBULINA HUMANA 5.0G INJETAVEL (POR FRASCO) (1B),IMUNO5
0604320019,"0604320019 EVEROLIMO 0,5 MG (POR COMPRIMIDO)Ç¨",EVERO0
0604320027,"0604320027 EVEROLIMO 0,75 MG (POR COMPRIMIDO)Ç¨",EVERO0
0604320035,0604320035 EVEROLIMO 1 MG (POR COMPRIMIDO)Ç¨,EVERO1
0604320043,0604320043 LEFLUNOMIDA 20 MG (POR COMPRIMIDO),LEFLU20
0604320051,0604320051 MICOFENOLATO DE MOFETILA 500 MG (POR COMPRIMIDO),MICOF500
0604320060,0604320060 MICOFENOLATO DE SODIO 180 MG (POR COMPRIMIDO),MICOF180
0604320078,0604320078 MICOFENOLATO DE SODIO 360 MG (POR COMPRIMIDO),MICOF360
0604320086,0604320086 SIROLIMO 1 MG (POR DRAGEA),SIROL1
0604320094,0604320094 SIROLIMO 2 MG (POR DRAGEA),SIROL2
0604320108,0604320108 SIROLIMO 1MG/ML SOLUCAO ORAL (POR FRASCO DE 60ML),SIROL1
0604320116,0604320116 NATALIZUMABE 300MG (POR FRASCO-AMPOLA),NATAL300
0604320124,0604320124 ABATACEPTE 250 MG INJETAVEL (POR FRASCO AMPOLA).,ABATA250
0604320132,"0604320132 FINGOLIMODE 0,5 MG (POR CAPSULA)",FINGO0
0604320140,0604320140 ABATACEPTE 125 MG INJETAVEL (POR SERINGA PREENCHIDA),ABATA125
0604320159,0604320159 TOFACITINIBE 5 MG (POR COMPRIMIDO),TOFAC5
0604320167,0604320167 VEDOLIZUMABE 300 MG PO LIOFILIZADO PARA SOLUCAO INJETAVEL,VEDOL300
0604320175,0604320175 BARICITINIBE 2MG (POR COMPRIMIDO),BARIC2
0604320183,0604320183 BARICITINIBE 4MG (POR COMPRIMIDO),BARIC4
0604320191,0604320191 UPADACITINIBE 15 MG (POR COMPRIMIDO REVESTIDO DE LIBERACAO PROLONGADA),UPADA15
0604320205,"0604320205 ALENTUZUMABE 10 MG/ML SOLUCAO INJETAVEL (FRASCO-AMPOLA CONTENDO 1,2 ML)",ALENT10
0604320213,0604320213 ECULIZUMABE 10 MG/ML SOLUCAO INJETAVEL (FRASCO COM 30 ML),ECULI10
0604320221,0604320221 CLADRIBINA 10 MG (COMPRIMIDO),CLADR10
0604330014,0604330014 ILOPROSTA 10 MCG/ML SOLUCAO PARA NEBULIZACAO (AMPOLA DE 1 ML),ILOPR10
0604330022,0604330022 CLOPIDOGREL 75 MG (POR COMPRIMIDO),CLOPI75
0604330030,0604330030 SELEXIPAGUE 200 MCG (POR COMPRIMIDO),SELEX200
0604330049,0604330049 SELEXIPAGUE 400 MCG (POR COMPRIMIDO),SELEX400
0604330057,0604330057 SELEXIPAGUE 600 MCG (POR COMPRIMIDO),SELEX600
0604330065,0604330065 SELEXIPAGUE 800 MCG (POR COMPRIMIDO),SELEX800
0604330073,0604330073 SELEXIPAGUE 1000 MCG (POR COMPRIMIDO),SELEX1000
0604330081,0604330081 SELEXIPAGUE 1200 MCG (POR COMPRIMIDO),SELEX1200
0604330090,0604330090 SELEXIPAGUE 1400 MCG (POR COMPRIMIDO),SELEX1400
0604330103,0604330103 SELEXIPAGUE 1600 MCG (POR COMPRIMIDO),SELEX1600
0604330111,0604330111 SELEXIPAGUE 200 MCG(TITULACAO DE DOSE) (POR COMPRIMIDO),SELEX200
0604330120,0604330120 SELEXIPAGUE 800 MCG (TITULACAO DE DOSE) ( POR COMPRIMIDO),SELEX800
0604340010,0604340010 CICLOSPORINA 10 MG (POR CAPSULA),CICLO10
0604340028,0604340028 CICLOSPORINA 25 MG (POR CAPSULA),CICLO25
0604340036,0604340036 CICLOSPORINA 50 MG (POR CAPSULA),CICLO50
0604340044,0604340044 CICLOSPORINA 100 MG (POR CAPSULA),CICLO100
0604340052,0604340052 CICLOSPORINA 100 MG/ML SOLUCAO ORAL (POR FRASCO DE 50 ML),CICLO100
0604340060,0604340060 TACROLIMO 1 MG (POR CAPSULA),TACRO1
0604340079,0604340079 TACROLIMO 5 MG (POR CAPSULA),TACRO5
0604350015,0604350015 SILDENAFILA 20 MG (POR COMPRIMIDO),SILDE20
0604350023,0604350023 SILDENAFILA 25 MG (POR COMPRIMIDO),SILDE25
0604350031,0604350031 SILDENAFILA 50 MG (POR COMPRIMIDO),SILDE50
0604360010,0604360010 ATORVASTATINA 10 MG (POR COMPRIMIDO),ATORV10
0604360029,0604360029 ATORVASTATINA 20 MG (POR COMPRIMIDO),ATORV20
0604360037,0604360037 ATORVASTATINA 40 MG (POR COMPRIMIDO),ATORV40
0604360045,0604360045 ATORVASTATINA 80 MG (POR COMPRIMIDO),ATORV80
0604360053,0604360053 FLUVASTATINA 20 MG (POR CAPSULA),FLUVA20
0604360061,0604360061 FLUVASTATINA 40 MG Ç¨(POR CAPSULA),FLUVA40
0604360070,0604360070 LOVASTATINA 10 MG (POR COMPRIMIDO),LOVAS10
0604360088,0604360088 LOVASTATINA 20 MG (POR COMPRIMIDO),LOVAS20
0604360096,0604360096 LOVASTATINA 40 MG (POR COMPRIMIDO),LOVAS40
0604360100,0604360100 PRAVASTATINA 10 MG (POR COMPRIMIDO),PRAVA10
0604360118,0604360118 PRAVASTATINA 20MG (POR COMPRIMIDO),PRAVA20
0604360126,0604360126 PRAVASTATINA 40 MG (POR COMPRIMIDO),PRAVA40
0604370016,0604370016 SELEGILINA 5 MG (POR COMPRIMIDO),SELEG5
0604370024,0604370024 SELEGILINA 10 MG (POR DRAGEA OU COMPRIMIDO),SELEG10
0604370032,0604370032 RASAGILINA 1 MG (POR COMPRIMIDO),RASAG1
0604380011,0604380011 ADALIMUMABE 40 MG INJETAVEL (POR SERINGA PREENCHIDA),ADALI40
0604380020,0604380020 ETANERCEPTE 25 MG INJETAVEL (POR FRASCO-AMPOLA OU SERINGA PREENCHIDA),ETANE25
0604380038,0604380038 ETANERCEPTE 50MG INJETAVEL (POR FRASCO-AMPOLA OU SERINGA PREENCHIDA)(ORIGINADOR),ETANE50
0604380046,0604380046 INFLIXIMABE 10 MG/ML INJETAVEL (POR FRASCO-AMPOLA COM 10 ML),INFLI10
0604380054,0604380054 INFLIXIMABE 10 MG/ML INJETAVEL (POR FRASCO-AMPOLA COM 10 ML),INFLI10
0604380062,0604380062 ADALIMUMABE 40 MG INJETAVEL (POR SERINGA PREENCHIDA),ADALI40
0604380070,0604380070 CERTOLIZUMABE PEGOL 200 MG/ML INJETAVEL (POR SERINGA PREENCHIDA),CERTO200
0604380089,0604380089 GOLIMUMABE 50 MG INJETAVEL (POR SERINGA PREENCHIDA,GOLIM50
0604380097,0604380097 ADALIMUMABE 40 MG INJETAVEL (FRASCO AMPOLA),ADALI40
0604380100,0604380100 ETANERCEPTE 50 MG INJETAVEL (POR FRASCO-AMPOLA OU SERINGA PREENCHIDA)(BIOSSIMILAR A),ETANE50
0604380119,0604380119 INFLIXIMABE 10 MG /ML INJETAVEL (POR FRASCO-AMPOLA COM 10 ML) (BIOSSIMILAR A),INFLI10
0604380127,0604380127 ADALIMUMABE 40 MG INJETAVEL ( POR SERINGA PREENCHIDA)( BIOSSIMILAR A),ADALI40
0604380135,0604380135 ADALIMUMABE 40 MG INJETAVEL (POR SERINGA PREENCHIDA) (BIOSSIMILAR B),ADALI40
0604390017,0604390017 ALFAINTERFERONA 2B 3.000.000 UI INJETAVEL (POR FRASCO-AMPOLA),ALFAI2
0604390025,0604390025 ALFAINTERFERONA 2B 5.000.000 UI INJETAVEL (POR FRASCO-AMPOLA),ALFAI2
0604390033,0604390033 ALFAINTERFERONA 2B 10.000.000 UI INJETAVEL (POR FRASCO-AMPOLA),ALFAI2
0604390041,0604390041 ALFAPEGINTERFERONA 2A 180MCG (POR SERINGA PREENCHIDA),ALFAP2
0604390050,0604390050 ALFAPEGINTERFERONA 2B 80MCG (POR FRASCO-AMPOLA),ALFAP2
0604390068,0604390068 ALFAPEGINTERFERONA 2B 100MCG (POR FRASCO-AMPOLA),ALFAP2
0604390076,0604390076 ALFAPEGINTERFERONA 2B 120MCG (POR FRASCO-AMPOLA),ALFAP2
0604390084,0604390084 BETAINTERFERONA 1A 6.000.000 UI (22 MCG) INJETAVEL (POR SERINGA PREENCHIDA),BETAI1
0604390092,"0604390092 BETAINTERFERONA 1A 6.000.000 UI (30 MCG) INJETAVEL (POR FRASCO-AMPOLA, SERINGA PREENCHIDA OU CANETA",BETAI1
0604390106,0604390106 BETAINTERFERONA 1A 12.000.000 UI (44 MCG) INJETAVEL (POR SERINGA PREENCHIDA),BETAI1
0604390114,0604390114 BETAINTERFERONA 1B 9.600.000 UI (300MCG) INJETAVEL (POR FRASCO-AMPOLA),BETAI1
0604400012,0604400012 SEVELAMER 800 MG (POR COMPRIMIDO),SEVEL800
0604410018,0604410018 METADONA 5 MG (POR COMPRIMIDO),METAD5
0604410026,0604410026 METADONA 10 MG (POR COMPRIMIDO),METAD10
0604410034,0604410034 METADONA 10 MG/ML INJETAVEL (POR AMPOLA DE 1 ML),METAD10
0604420013,"0604420013 FLUDROCORTISONA 0,1 MG (POR COMPRIMIDO)",FLUDR0
0604430019,0604430019 RALOXIFENO 60 MG (POR COMPRIMIDO),RALOX60
0604440014,"0604440014 ALFADORNASE 2,5 MG (POR AMPOLA)",ALFAD2
0604450010,0604450010 RIBAVIRINA 250 MG (POR CAPSULA),RIBAV250
0604460015,0604460015 ADEFOVIR 10 MG (POR COMPRIMIDO),ADEFO10
0604460023,"0604460023 ENTECAVIR 0,5 MG (POR COMPRIMIDO)",ENTEC0
0604460031,0604460031 LAMIVUDINA 10 MG/ML SOLUCAO ORAL (FRASCO DE 240 ML),LAMIV10
0604460040,0604460040 LAMIVUDINA 150 MG (POR COMPRIMIDO),LAMIV150
0604460058,0604460058 TENOFOVIR 300 MG (POR COMPRIMIDO),TENOF300
0604460066,0604460066 ENTECAVIR 1.0 MG (POR COMPRIMIDO),ENTEC1
0604470010,0604470010 ALFAEPOETINA 1.000 UI INJETAVEL (POR FRASCO-AMPOLA),ALFAE1
0604470029,0604470029 ALFAEPOETINA 2.000 UI INJETAVEL (POR FRASCO-AMPOLA),ALFAE2
0604470037,0604470037 ALFAEPOETINA 3.000 UI INJETAVEL (POR FRASCO-AMPOLA),ALFAE3
0604470045,0604470045 ALFAEPOETINA 4.000 UI INJETAVEL (POR FRASCO-AMPOLA),ALFAE4
0604470053,0604470053 ALFAEPOETINA 10.000 UI INJETAVEL (POR FRASCO-AMPOLA),ALFAE10
0604480016,0604480016 HIDROXIUREIA 500 MG (POR CAPSULA),HIDRO500
0604480024,0604480024 HIDROXIUREIA 100 MG (POR COMPRIMIDO REVESTIDO),HIDRO100
0604490011,0604490011 ENTACAPONA 200 MG (POR COMPRIMIDO),ENTAC200
0604490020,0604490020 TOLCAPONA 100 MG (POR COMPRIMIDO),TOLCA100
0604500017,0604500017 GABAPENTINA 300 MG (POR CAPSULA),GABAP300
0604500025,0604500025 GABAPENTINA 400 MG (POR CAPSULA),GABAP400
0604500033,0604500033 LAMOTRIGINA 25 MG (POR COMPRIMIDO),LAMOT25
0604500041,0604500041 LAMOTRIGINA 50 MG (POR COMPRIMIDO),LAMOT50
0604500050,0604500050 LAMOTRIGINA 100 MG (POR COMPRIMIDO),LAMOT100
0604500068,0604500068 TOPIRAMATO 25 MG (POR COMPRIMIDO),TOPIR25
0604500076,0604500076 TOPIRAMATO 50 MG (POR COMPRIMIDO),TOPIR50
0604500084,0604500084 TOPIRAMATO 100 MG (POR COMPRIMIDO),TOPIR100
0604500092,0604500092 LEVETIRACETAM 100 MG /ML SOLUCAO ORAL (POR FRASCO DE 150 ML),LEVET100
0604500106,0604500106 LEVETIRACETAM 250 MG (POR COMPRIMIDO),LEVET250
0604500114,0604500114 LEVETIRACETAM 750 MG (POR COMPRIMIDO),LEVET750
0604500122,0604500122 LEVETIRACETAM 100 MG/ML SOLUCAO ORAL (POR FRASCO DE 100 ML),LEVET100
0604500130,0604500130 LEVETIRACETAM 500 MG (POR COMPRIMIDO),LEVET500
0604500149,0604500149 LEVETIRACETAM 1000 MG (POR COMPRIMIDO),LEVET1000
0604510012,0604510012 RISPERIDONA 1 MG (POR COMPRIMIDO),RISPE1
0604510020,0604510020 RISPERIDONA 2 MG (POR COMPRIMIDO),RISPE2
0604510039,0604510039 RISPERIDONA 3 MG (POR COMPRIMIDO),RISPE3
0604510047,"0604510047 RISPERIDONA 1,0 MG/ML SOLUCAO ORAL (POR FRASCO DE 30 ML)",RISPE1
0604520018,0604520018 GLATIRAMER 20 MG INJETAVEL (POR SERINGA PREENCHIDA ),GLATI20
0604520026,0604520026 GLATIRAMER 40 MG INJETAVEL (POR SERINGA PREENCHIDA),GLATI40
0604530013,0604530013 AZATIOPRINA 50 MG (POR COMPRIMIDO),AZATI50
0604530021,"0604530021 METOTREXATO 2,5 MG (POR COMPRIMIDO)",METOT2
0604530030,0604530030 METOTREXATO 25 MG/ML INJETAVEL (POR AMPOLA DE 2 ML),METOT25
0604530048,0604530048 METOTREXATO 25 MG/ML INJETAVEL (POR AMPOLA DE 20 ML),METOT25
0604540019,0604540019 RILUZOL 50 MG (POR COMPRIMIDO),RILUZ50
0604540027,0604540027 FUMARATO DE DIMETILA 120 MG (POR CAPSULA),FUMAR120
0604540035,0604540035 FUMARATO DE DIMETILA 240 MG (POR CAPSULA),FUMAR240
0604540043,0604540043 TERIFLUNOMIDA 14 MG (POR COMPRIMIDO),TERIF14
0604540060,0604540060 TAFAMIDIS 20 MG CAPSULA,TAFAM20
0604540078,0604540078 MEMANTINA 10 MG (POR COMPRIMIDO),MEMAN10
0604550014,0604550014 TOXINA BOTULINICA TIPO A 100 U INJETAVEL (POR FRASCO-AMPOLA),TOXIN100
0604550022,0604550022 TOXINA BOTULINICA TIPO A 500 U INJETAVEL (POR FRASCO-AMPOLA),TOXIN500
0604560010,0604560010 PENICILAMINA 250 MG (POR CAPSULA),PENIC250
0604570015,0604570015 CALCITONINA 50 UI INJETAVEL (POR AMPOLA),CALCI50
0604570023,0604570023 CALCITONINA 100 UI INJETAVEL (POR AMPOLA),CALCI100
0604570031,0604570031 CALCITONINA 200 UI/DOSE SPRAY NASAL (POR FRASCO),CALCI200
0604580010,0604580010 PANCREATINA 10.000 UI (POR CAPSULA),PANCR10
0604580029,0604580029 PANCREATINA 25000 UI (POR CAPSULA),PANCR25000
0604580037,0604580037 PANCRELIPASE 4500 UI (POR CAPSULA),PANCR4500
0604580045,0604580045 PANCRELIPASE 12.000 UI (POR CAPSULA),PANCR12
0604580053,0604580053 PANCRELIPASE 18.000 UI (POR CAPSULA),PANCR18
0604580061,0604580061 PANCRELIPASE 20.000 UI (POR CAPSULA),PANCR20
0604590016,0604590016 ISOTRETINOINA 10 MG (POR CAPSULA),ISOTR10
0604590024,0604590024 ISOTRETINOINA 20 MG (POR CAPSULA),ISOTR20
0604600011,0604600011 ACITRETINA 10 MG (POR CAPSULA),ACITR10
0604600020,0604600020 ACITRETINA 25 MG (POR CAPSULA),ACITR25
0604610017,0604610017 SOMATROPINA 4 UI INJETAVEL (POR FRASCO-AMPOLA),SOMAT4
0604610025,0604610025 SOMATROPINA 12 UI INJETAVEL (POR FRASCO-AMPOLA),SOMAT12
0604610033,0604610033 SOMATROPINA 16UI INJETAVEL (POR FRASCO AMPOLA),SOMAT16
