co_sigtap,no_sigtap,sg_procedimento
0601100107,"0601100107 PRAMIPEXOL 0,25 MG (POR COMPRIMIDO)",PRAMI0
0601100115,0601100115 PRAMIPEXOL 1 MG (POR COMPRIMIDO),PRAMI1
0601100123,0601100123 SELEGILINA 10 MG (POR COMPRIMIDO),SELEG10
0601100131,0601100131 SELEGILINA 5 MG (POR COMPRIMIDO),SELEG5
0601100140,0601100140 TOLCAPONA (F) 100 MG (POR COMPRIMIDO),TOLCA100
0601100158,0601100158 TOLCAPONA (F) 200 MG (POR COMPRIMIDO),TOLCA200
0601100166,0601100166 TRIEXIFENIDILA 5 MG (POR COMPRIMIDO),TRIEX5
0601110013,0601110013 CLOZAPINA 100 MG (POR COMPRIMIDO),CLOZA100
0601110021,0601110021 CLOZAPINA 25 MG (POR COMPRIMIDO),CLOZA25
0601110030,0601110030 OLANZAPINA (G) 10 MG (POR COMPRIMIDO),OLANZ10
0601110048,0601110048 OLANZAPINA (G) 5 MG (POR COMPRIMIDO),OLANZ5
0601110056,0601110056 QUETIAPINA (G) 100 MG (POR COMPRIMIDO),QUETI100
0601110064,0601110064 QUETIAPINA (G) 25 MG (POR COMPRIMIDO),QUETI25
0601110072,0601110072 QUETIAPINA (G) 200 MG (POR COMPRIMIDO),QUETI200
0601110080,0601110080 RISPERIDONA 1 MG (POR COMPRIMIDO),RISPE1
0601110099,0601110099 RISPERIDONA 2 MG (POR COMPRIMIDO),RISPE2
0601110102,0601110102 ZIPRASIDONA (G) 80 MG (POR CAPSULA),ZIPRA80
0601110110,0601110110 ZIPRASIDONA (G) 40 MG (POR CAPSULA),ZIPRA40
0601120019,0601120019 LAMIVUDINA 10 MG/ML SOLUCAO ORAL (FRASCO DE 240 ML),LAMIV10
0601120027,0601120027 LAMIVUDINA 150 MG (POR COMPRIMIDO),LAMIV150
0601120035,0601120035 RIBAVIRINA 250 MG (POR CAPSULA),RIBAV250
0601120051,0601120051 ADEFOVIR 10MG (POR COMPRIMIDO),ADEFO10
0601120060,"0601120060 ENTECAVIR 0,5 MG (POR COMPRIMIDO)",ENTEC0
0601120078,0601120078 TENOFOVIR 300 MG (1000MG),TENOF300
0601130014,0601130014 TOXINA BOTULINICA TIPO A (H) 100 UI INJETAVEL (POR FRASCO-AMPOLA),TOXIN100
0601130022,0601130022 TOXINA BOTULINICA TIPO A (H) 500 UI INJETAVEL (POR FRASCO-AMPOLA),TOXIN500
0601140010,0601140010 ACITRETINA 10 MG (POR CAPSULA),ACITR10
0601140028,0601140028 ACITRETINA 25 MG (POR CAPSULA),ACITR25
0601140036,0601140036 ISOTRETINOINA 10 MG (POR CAPSULA),ISOTR10
0601140044,0601140044 ISOTRETINOINA 20 MG (POR CAPSULA),ISOTR20
0601150015,0601150015 COMPLEMENTO ALIMENTAR P/ PACIENTE FENILCETONURICO MAIOR DE 1 ANO - FORMULA DE AMINO-ACIDOS ISENTA DE,COMPL1
0601150023,0601150023 COMPLEMENTO ALIMENTAR P/ PACIENTE FENILCETONURICO MENOR DE 1 ANO - FORMULA DE AMINO-ACIDOS ISENTA DE,COMPL1
0601160010,0601160010 FILGRASTIM (I) 300 MCG INJETAVEL (POR FRASCO),FILGR300
0601160037,0601160037 MOLGRAMOSTIM (I) 300 MCG INJETAVEL (POR FRASCO),MOLGR300
0601170016,0601170016 CODEINA 3 MG/ML SOLUCAO ORAL (POR FRASCO DE 120 ML),CODEI3
0601170024,0601170024 CODEINA 30 MG (POR COMPRIMIDO),CODEI30
0601170032,0601170032 CODEINA 30 MG/ML (POR AMPOLA DE 2 ML),CODEI30
0601170040,0601170040 CODEINA 60 MG (POR COMPRIMIDO),CODEI60
0601170059,0601170059 METADONA 10 MG (POR COMPRIMIDO),METAD10
0601170067,0601170067 METADONA 10 MG/ML INJETAVEL (POR AMPOLA DE 1 ML),METAD10
0601170075,0601170075 METADONA 5 MG (POR COMPRIMIDO),METAD5
0601170083,0601170083 MORFINA DE LIBERACAO CONTROLADA 100 MG (POR CAPSULA),MORFI100
0601170091,0601170091 MORFINA DE LIBERACAO CONTROLADA 60 MG (POR CAPSULA),MORFI60
0601170105,0601170105 MORFINA 10 MG (POR COMPRIMIDO),MORFI10
0601170113,0601170113 MORFINA 10 MG/ML (POR AMPOLA DE 1 ML),MORFI10
0601170121,0601170121 MORFINA 10 MG/ML SOLUCAO ORAL (POR FRASCO DE 60 ML),MORFI10
0601170130,0601170130 MORFINA 30 MG (POR COMPRIMIDO),MORFI30
0601170148,0601170148 MORFINA DE LIBERACAO CONTROLADA 30 MG (POR CAPSULA),MORFI30
0601180011,0601180011 ATORVASTATINA (J) 10 MG (POR COMPRIMIDO),ATORV10
0601180020,0601180020 ATORVASTATINA (J) 20 MG (POR COMPRIMIDO),ATORV20
0601180038,0601180038 BEZAFIBRATO (K) 200 MG (POR DRAGEA),BEZAF200
0601180046,0601180046 BEZAFIBRATO (K) 400 MG (POR DRAGEA),BEZAF400
0601180054,0601180054 CIPROFIBRATO (K) 100 MG (POR COMPRIMIDO),CIPRO100
0601180062,0601180062 ETOFIBRATO (K) 500 MG (POR CAPSULA),ETOFI500
0601180070,0601180070 FENOFIBRATO (K) 200 MG (POR CAPSULA),FENOF200
0601180089,0601180089 FENOFIBRATO (K) 250 MG LIBERACAO RETARDADA (POR CAPSULA),FENOF250
0601180097,0601180097 FLUVASTATINA (J) 20 MG (POR CAPSULA),FLUVA20
0601180100,0601180100 FLUVASTATINA (J) 40 MG (POR CAPSULA),FLUVA40
0601180119,0601180119 GENFIBROZILA (K) 600 MG (POR CAPSULA OU COMPRIMIDO),GENFI600
0601180127,0601180127 GENFIBROZILA (K) 900 MG (POR COMPRIMIDO),GENFI900
0601180135,0601180135 LOVASTATINA (J) 10 MG (POR COMPRIMIDO),LOVAS10
0601180143,0601180143 LOVASTATINA (J) 20 MG (POR COMPRIMIDO),LOVAS20
0601180151,0601180151 LOVASTATINA (J) 40 MG (POR COMPRIMIDO),LOVAS40
0601180160,0601180160 PRAVASTATINA (J) 10 MG (POR COMPRIMIDO),PRAVA10
0601180178,0601180178 PRAVASTATINA (J) 20MG (POR COMPRIMIDO),PRAVA20
0601180186,0601180186 PRAVASTATINA (J) 40 MG (POR COMPRIMIDO),PRAVA40
0601180194,0601180194 SINVASTATINA (J) 10 MG (POR COMPRIMIDO),SINVA10
0601180208,0601180208 SINVASTATINA (J) 20 MG (POR COMPRIMIDO),SINVA20
