Tipo,Informação,Origem,,
Mortalidade,Taxa de mortalidade específica por causas externas,RIPSA,,
Mortalidade,Taxa de mortalidade específica por diabete melito,RIPSA,,
Mortalidade,Taxa de mortalidade específica por doenças do aparelho circulatório,RIPSA,,
Mortalidade,Taxa de mortalidade específica por doenças transmissíveis,RIPSA,,
Mortalidade,Taxa de mortalidade específica por neoplasias malignas,RIPSA,,
Mortalidade,Taxa de mortalidade infantil,RIPSA,,
Mortalidade,Taxa de mortalidade neonatal precoce,RIPSA,,
Mortalidade,Taxa de mortalidade neonatal tardia,RIPSA,,
Mortalidade,Taxa de mortalidade perinatal,RIPSA,,
Mortalidade,Taxa de mortalidade pós-neonatal,RIPSA,,
Recursos,,RIPSA,,
Recursos,Anexo I – Conceito de gasto público com saúde,RIPSA,,
Recursos,Anexo II – Conceito de gasto federal com saúde,RIPSA,,
Recursos,Anexo III – Conceito de gasto público com saneamento,RIPSA,,
Recursos,Anexo IV – Conceito de gasto federal com saneamento,RIPSA,,
Recursos,Despesa familiar com saúde como proporção da renda familiar,RIPSA,,
Recursos,Distribuição dos postos de trabalho de nível superior,RIPSA,,
Recursos,em estabelecimentos de saúde,RIPSA,,
Recursos,Gasto federal com saneamento como proporção do gasto federal total,RIPSA,,
Recursos,Gasto federal com saúde como proporção do gasto federal total,RIPSA,,
Recursos,Gasto federal com saúde como proporção do PIB,RIPSA,,
Recursos,Gasto médio (SUS) por atendimento ambulatorial,RIPSA,,
Recursos,Gasto público com saneamento como proporção do PIB,RIPSA,,
Recursos,Gasto público com saúde como proporção do PIB,RIPSA,,
Recursos,Gasto público com saúde per capita,RIPSA,,
Recursos,Número de concluintes de cursos de graduação em saúde,RIPSA,,
Recursos,Número de enfermeiros por leito hospitalar,RIPSA,,
Recursos,Número de leitos hospitalares (SUS) por habitante,RIPSA,,
Recursos,Número de leitos hospitalares por habitante,RIPSA,,
Recursos,Número de profissionais de saúde por habitante,RIPSA,,
Recursos,Valor médio pago por internação hospitalar no SUS (AIH),RIPSA,,
Socioeconômicos,Níveis de escolaridade,RIPSA,,
Socioeconômicos,Produto Interno Bruto (PIB) per capita,RIPSA,,
Socioeconômicos,Proporção de pobres,RIPSA,,
Socioeconômicos,Razão de renda,RIPSA,,
Socioeconômicos,Taxa de analfabetismo,RIPSA,,
Socioeconômicos,Taxa de desemprego,RIPSA,,
Socioeconômicos,Taxa de trabalho infantil,RIPSA,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
instituicao,sigla,titulo,url,descricao
PAHO WHO | Pan American Health Organization,,,http://www.paho.org/hq/index.php?option=com_content&view=article&id=2470&Itemid=2003&lang=en,Data and Statistics
PAHO WHO | Pan American Health Organization,,,http://www1.paho.org/English/SHA/coredata/tabulator/newTabulator.htm,Table Generator System
PAHO WHO | Pan American Health Organization,,,http://ais.paho.org/phip/viz/basicindicatorbrowaser.asp,Basic Indicator Browser
PAHO WHO | Pan American Health Organization,,,http://ais.paho.org/phip/viz/mfr_indicatorserietable.asp,Basic Health Indicators
PAHO WHO | Pan American Health Organization,,,http://www.paho.org/hq/index.php?option=com_content&view=article&id=2200&Itemid=1910&lang=en,Indicator Trend Chart
Ministério da Saúde,SAGE,Sala de Situação à Gestão Estratégica em Saúde,http://sage.saude.gov.br/,
Ministério da Saúde,SIAB,Sistema de Informações da Atenção Básica,http://www2.datasus.gov.br/SIAB/index.php?area=04,
Ministério da Saúde,,Programa Mais Médicos GOVERNO FEDERAL,http://maismedicos.gov.br/mapa-de-atuacao,Mapa de atuação
Ministério da Saúde,SAGE,Portal Transparência,http://aplicacao.saude.gov.br/portaltransparencia/index.jsf,/visao/dados
Ministério da Saúde,CNES,Cadastro Nacional de Estabelecimentos de Saúde,http://www2.datasus.gov.br/DATASUS/index.php?area=0204,
