SIA,AM,Laudo de Medicamentos,ftp://ftp.datasus.gov.br/dissemin/publicos/SIASUS/200801_/Dados/
SIA,AN,Laudo de Nefrologia,ftp://ftp.datasus.gov.br/dissemin/publicos/SIASUS/200801_/Dados/
SIA,AQ,Laudo de Quimioterapia,ftp://ftp.datasus.gov.br/dissemin/publicos/SIASUS/200801_/Dados/
SIA,AR,Laudo de Radioterapia,ftp://ftp.datasus.gov.br/dissemin/publicos/SIASUS/200801_/Dados/
SIA,ATD,Tratamento Dialítico,ftp://ftp.datasus.gov.br/dissemin/publicos/SIASUS/200801_/Dados/
SIA,BI,Boletim Individual,ftp://ftp.datasus.gov.br/dissemin/publicos/SIASUS/200801_/Dados/
SIA,PA,Produções ambulatoriais 1994-1999,ftp://ftp.datasus.gov.br/dissemin/publicos/SIASUS/199407_200712/Dados/
SIA,PA,Produção Ambulatorial,ftp://ftp.datasus.gov.br/dissemin/publicos/SIASUS/200801_/Dados/
SIA,PS,Psicossocial,ftp://ftp.datasus.gov.br/dissemin/publicos/SIASUS/200801_/Dados/
SIA,SAD,Atenção Domiciliar,ftp://ftp.datasus.gov.br/dissemin/publicos/SIASUS/200801_/Dados/
SIH,ER,Rejeitadas com Código de Erro,ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/
SIH,RD,Reduzido de AIH,ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/199201_200712/Dados/
SIH,RD,Reduzido de AIH,ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/
SIH,RJ,AIH rejeitada,ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/199201_200712/Dados/
SIH,RJ,AIH rejeitada,ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/
SIH,SP,Serviços Profissionais,ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/199201_200712/Dados/
SIH,SP,Serviços Profissionais,ftp://ftp.datasus.gov.br/dissemin/publicos/SIHSUS/200801_/Dados/
SIM,DO,Declarações de Óbitos,ftp://ftp.datasus.gov.br/dissemin/publicos/SIM/CID10/DORES/
SIM,DOEXT,Declarações de Óbitos por causas externas,ftp://ftp.datasus.gov.br/dissemin/publicos/SIM/CID10/DOFET/
SIM,DOFET,Declarações de Óbitos Fetais ,ftp://ftp.datasus.gov.br/dissemin/publicos/SIM/CID10/DOFET/
SIM,DOINF,Declarações de Óbitos infantis,ftp://ftp.datasus.gov.br/dissemin/publicos/SIM/CID10/DOFET/
SIM,DOMAT,Declarações de Óbitos maternos,ftp://ftp.datasus.gov.br/dissemin/publicos/SIM/CID10/DOFET/
SINASC,DNRIG,Declaraçõe de Nascidos Vivos,ftp://ftp.datasus.gov.br/dissemin/publicos/SINASC/ANT/DNIGN/
SINASC,DN,Declaraçõe de Nascidos Vivos,ftp://ftp.datasus.gov.br/dissemin/publicos/SINASC/NOV/DNRES/
SINASC,DNR,Dados dos nascimentos por UF de residência,ftp://ftp.datasus.gov.br/dissemin/publicos/SINASC/ANT/DNRES/
SISPRENATAL,PN,Pré-Natal,ftp://ftp.datasus.gov.br/dissemin/publicos/SISPRENATAL/201201_/Dados/
