tp_diretriz,no_diretriz,co_cid_hash,ds_publicacao,ds_url
pcdt,Dermatomiosite e Polimiosite,M330 M331 M332,Portaria SAS/MS nº 1.692 - de 22/11/2016 (Publicada em 25/11/2016),http://conitec.gov.br/images/Protocolos/PCDT_Dermatomiosite_Polimiosite.pdf
pcdt,Esclerose Sistêmica,M340 M341 M348,Portaria Conjunta SAS/SCTIE nº 9 - 28/08/2017 (Publicada em 04/09/2017),http://conitec.gov.br/images/Protocolos/PCDT-Esclerose-Sistemica.05-09-2017.pdf
pcdt,Espondilite Ancilosante,M45 M468,Portaria Conjunta SAS/SCTIE nº 25 - 22/10/2018 (Publicada em 26/10/2018),http://conitec.gov.br/images/Protocolos/PCDT_EspondiliteAncilosante.pdf
pcdt,Espondilose,M471 M472 M478,Portaria SAS/MS nº 1.309 - 22/11/2013 (Publicada em 25/11/2013),https://www.saude.gov.br/images/pdf/2014/abril/02/pcdt-espondilose-livro-2013.pdf
pcdt,Osteoporose,M800 M801 M802 M803 M804 M805 M808 M810 M811 M812 M813 M814 M815 M816 M818 M820 M821 M828,Portaria SAS/MS nº 451 – 09/06/2014 (Publicada em 10/06/2014). (Retificada em 18/06/2014),http://conitec.gov.br/images/Protocolos/Osteoporose.pdf
pcdt,Doença de Paget,M880 M888,Portaria Conjunta SAES/SCTIE nº 2 - 23/01/2020 (Publicada em 23/01/2020),http://conitec.gov.br/images/Protocolos/PCDT_DoencaPAGET.pdf
pcdt,Síndrome Nefrótica Primária em Crianças e Adolescentes e Síndrome Nefrótica Primária em Adultos,N040 N041 N042 N043 N044 N045 N046 N047 N048 N049,Portaria Conjunta SAS/SCTIE nº 01 - 10/01/2018 (Publicada em 16/01/2018); Portaria Conjunta SAES/SCTIE nº 8 - 14/04/2020 (republicada em 16/04/2020),http://conitec.gov.br/images/Protocolos/PCDT_SindromeNefroticaPrimaria_CriancasAdolescentes.pdf; http://conitec.gov.br/images/Protocolos/PCDT_SindromeNefroticaPrimariaAdulto.pdf
pcdt,Distúrbio Mineral Ósseo na Doença Renal Crônica e Osteodistrofia Renal (Substituido pelo PCDT Distúrbio Mineral Ósseo),N180 E833 N250,Portaria Conjunta SAS/SCTIE nº 801 - 25/04/2017 (Publicada em 25/04/2017); Portaria SAS/MS nº 801 - 25/04/2017 (Publicada em 27/04/2017),http://conitec.gov.br/images/Protocolos/PCDT_DisturbioMineralOsseo.pdf; http://conitec.gov.br/images/Protocolos/PCDT_DisturbioMineralOsseo.pdf
pcdt,Anemia em pacientes com Insuficiência Renal Crônica - Alfaepoetina e Anemia em pacientes com Insuficiência Renal Crônica - Reposição de Ferro,N180 N188,Portaria Conjunta SAS/MS nº 365 - 15/02/2017 (Publicada em 15/02/2017); Portaria Conjunta SAS/MS nº 365 - 15/02/2017 (Publicada em 15/02/2017),http://conitec.gov.br/images/Protocolos/PCDT_Anemia_DoencaRenalCronica.pdf; http://conitec.gov.br/images/Protocolos/PCDT_IRC_Ferro.pdf
pcdt,Endometriose,N800 N801 N802 N803 N804 N805 N808,Portaria SAS/MS nº 879 - 12/07/2016 (Publicada 15/07/2016),http://conitec.gov.br/images/Protocolos/pcdt_endometriose_2016.pdf
pcdt,Osteogênese Imperfeita,Q780,Portaria SAS/MS nº 1.306 - 22/11/2013 (Publicada em 25/11/2013),https://www.saude.gov.br/images/pdf/2014/abril/03/pcdt-osteogenese-imperfeita-livro-2013.pdf
pcdt,Ictioses Hereditárias,Q800 Q801 Q802 Q803 Q808,Portaria SAS/MS nº 1.162 - 20/11/2015 (Publicada em 20/11/2015),http://conitec.gov.br/images/Protocolos/pcdt_ictioses-hereditarias_2015.pdf
pcdt,Síndrome de Turner,Q960 Q961 Q962 Q963 Q964 Q968,Portaria Conjunta SAS/SCTIE nº 15 – 09/05/2018 (Publicada em 24/05/2018),http://conitec.gov.br/images/Protocolos/PCDT_Sindrome_de_Turner.pdf
pcdt,Incontinência Urinária não Neurogênica,R32 N393 N394,Portaria Conjunta SAES/SCTIE nº 01 - 09/01/2020 (Publicada em 13/01/2020),http://conitec.gov.br/images/Protocolos/Portaria-Conjunta-PCDT-Incontinencia-Urinaria-NN-13.01.2020.pdf
pcdt,Dor Crônica,R521 R522,Portaria SAS/MS nº 1.083 - 02/10/2012 (Publicada em 03/10/2012),http://conitec.gov.br/images/Protocolos/DorCronica.pdf
pcdt,Sobrecarga de Ferro,T454 E831,Portaria Conjunta SAS/SCTIE nº 7 - 23/02/2018 (Publicada em 01/03/2018),http://conitec.gov.br/images/Protocolos/PCDT_Sobrecarga_Ferro.pdf
pcdt,Imunossupressão no Transplante Renal (Republicado em 14/08/2014),Z940 T861,Portaria SAS/MS nº 712 - 13/08/2014 (Publicada em 14/08/2014),http://conitec.gov.br/images/Protocolos/PCDT_Imunossupressao_no_Transplante_Renal.pdf
pcdt,Imunossupressão no Transplante Hepático em Adulto e Imunossupressão no Transplante Hepático em Pediatria,Z944 T864,Portaria Conjunta SAS/SCTIE nº 5 - 22/06/2017 (Publicada em 27/06/2017); Portaria Conjunta SAS/SCTIE nº 4 - 10/01/2019 (Publicada em 14/01/2019),http://conitec.gov.br/images/PCDT_Imunossupressao-pos-transplante-hepatico.pdf; http://conitec.gov.br/images/Protocolos/PCDT_ImunossupressonoTransplantehepaticoempediatria.pdf
